UPID	Gene	Molecular weight (Da)	GALACTOSE	ACETATE	PYRUVATE	GLYCEROL	FRUCTOSE	SUCCINATE	GLUCOSE	Annotated functional COG group (description)	Description	Annotated functional COG class	Annotated functional COG groups (letter)
P00954	trpS	37396.06115	823	925	1221	1372	1550	1136	1818	Translation, ribosomal structure and biogenesis	Tryptophanyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=trpS PE=1 SV=3	INFORMATION STORAGE AND PROCESSING	J
P0AAI5	fabF	43000.55275	1948	1236	1578	2138	2270	2196	1917	Lipid transport and metabolism	3-oxoacyl-[acyl-carrier-protein] synthase 2 OS=Escherichia coli (strain K12) GN=fabF PE=1 SV=2	METABOLISM	IQ
P0AEK2	fabG	25526.19579	2531	2521	3347	3492	3911	4198	4675	Lipid transport and metabolism	3-oxoacyl-[acyl-carrier-protein] reductase OS=Escherichia coli (strain K12) GN=fabG PE=1 SV=1	METABOLISM	IQR
P0A6T5	folE	24796.90762	3466	2920	5102	6842	8801	5244	14176	Coenzyme transport and metabolism	GTP cyclohydrolase 1 OS=Escherichia coli (strain K12) GN=folE PE=1 SV=2	METABOLISM	H
P30011	nadC	32723.94863	508	405	597	562	654	560	631	Coenzyme transport and metabolism	Nicotinate-nucleotide pyrophosphorylase [carboxylating] OS=Escherichia coli (strain K12) GN=nadC PE=1 SV=7	METABOLISM	H
P0A6T3	galK	41397.83668	4778	520	517	591	499	713	369	Carbohydrate transport and metabolism	Galactokinase OS=Escherichia coli (strain K12) GN=galK PE=1 SV=2	METABOLISM	G
P0A6V8	glk	34682.97956	1113	600	623	975	1525	767	497	Carbohydrate transport and metabolism	Glucokinase OS=Escherichia coli (strain K12) GN=glk PE=1 SV=1	METABOLISM	G
P00946	manA	42804.99234	467	901	850	887	846	817	914	Carbohydrate transport and metabolism	Mannose-6-phosphate isomerase OS=Escherichia coli (strain K12) GN=manA PE=1 SV=1	METABOLISM	G
P06999	pfkB	32417.84255	1110	805	779	844	1151	1157	939	Carbohydrate transport and metabolism	6-phosphofructokinase isozyme 2 OS=Escherichia coli (strain K12) GN=pfkB PE=1 SV=2	METABOLISM	G
P76015	dhaK	38173.13622	801	645	779	2381	642	678	754	Carbohydrate transport and metabolism	PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit dhaK OS=Escherichia coli (strain K12) GN=dhaK PE=1 SV=2	METABOLISM	G
P0A993	fbp	36792.64622	968	1859	2429	1085	899	1821	944	Carbohydrate transport and metabolism	Fructose-1,6-bisphosphatase class 1 OS=Escherichia coli (strain K12) GN=fbp PE=1 SV=1	METABOLISM	G
P0AAG8	mglA	56361.45375	533	115	211	170	122	249	25	Carbohydrate transport and metabolism	Galactose/methyl galactoside import ATP-binding protein MglA OS=Escherichia coli (strain K12) GN=mglA PE=1 SV=1	METABOLISM	G
P0AG80	ugpB	48400.01535	310	163	192	173	99	162	113	Carbohydrate transport and metabolism	sn-glycerol-3-phosphate-binding periplasmic protein ugpB OS=Escherichia coli (strain K12) GN=ugpB PE=1 SV=1	METABOLISM	G
P0A6D3	aroA	46048.45409	866	637	1018	1151	1644	911	2056	Amino acid transport and metabolism	3-phosphoshikimate 1-carboxyvinyltransferase OS=Escherichia coli (strain K12) GN=aroA PE=1 SV=1	METABOLISM	E
P06986	hisC	39317.28634	1443	653	1008	1614	1522	1096	2203	Amino acid transport and metabolism	Histidinol-phosphate aminotransferase OS=Escherichia coli (strain K12) GN=hisC PE=1 SV=2	METABOLISM	E
P06988	hisD	46063.61695	1383	1065	1731	2463	1970	1375	3447	Amino acid transport and metabolism	Histidinol dehydrogenase OS=Escherichia coli (strain K12) GN=hisD PE=1 SV=5	METABOLISM	E
P0AFK9	potD	38824.47978	2065	1690	2447	2884	3044	3120	3341	Amino acid transport and metabolism	Spermidine/putrescine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=potD PE=1 SV=1	METABOLISM	E
P76108	ydcS	42250.08416	803	291	263	318	92	299	82	Amino acid transport and metabolism	Putative ABC transporter periplasmic-binding protein ydcS OS=Escherichia coli (strain K12) GN=ydcS PE=3 SV=1	METABOLISM	E
D9IX93	gsiB	56416.73288	326	274	284	311	291	294	316	Amino acid transport and metabolism	GsiB OS=Escherichia coli (strain K12) GN=gsiB PE=4 SV=1	METABOLISM	E
P0A9J8	pheA	43066.38398	2208	1075	1131	1465	1457	1395	1584	Amino acid transport and metabolism	P-protein OS=Escherichia coli (strain K12) GN=pheA PE=1 SV=1	METABOLISM	E
P30859	artI	26894.72093	1833	2216	2080	2528	1662	2140	1927	Amino acid transport and metabolism	Putative ABC transporter arginine-binding protein 2 OS=Escherichia coli (strain K12) GN=artI PE=1 SV=3	METABOLISM	ET
P00904	trpG	56816.25068	634	523	992	1101	1312	605	1025	Amino acid transport and metabolism	Anthranilate synthase component II OS=Escherichia coli (strain K12) GN=trpD PE=1 SV=3	METABOLISM	E
P30125	leuB	39474.00703	7681	7245	2985	5032	5025	4403	4588	Energy production and conversion	3-isopropylmalate dehydrogenase OS=Escherichia coli (strain K12) GN=leuB PE=1 SV=3	METABOLISM	CE
Q46851	gpr	38789.70115	578	830	564	333	255	569	167	Energy production and conversion	Uncharacterized protein yghZ OS=Escherichia coli (strain K12) GN=yghZ PE=1 SV=1	METABOLISM	C
P77674	prr	50779.90527	2035	514	1183	1263	324	1906	313	Energy production and conversion	Gamma-aminobutyraldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=prr PE=1 SV=1	METABOLISM	C
P26646	acuI	34683.88067	1413	1012	1339	1390	1139	1150	1097	Energy production and conversion	Putative quinone oxidoreductase YhdH OS=Escherichia coli (strain K12) GN=yhdH PE=1 SV=1	METABOLISM	CR
P0AEE1	dcrB	19757.12484	1048	1141	1555	1779	1676	1350	2176		Protein dcrB OS=Escherichia coli (strain K12) GN=dcrB PE=1 SV=1		-
P64451	ydcL	24393.4873	3127	1316	1298	2143	1487	1855	1470		Uncharacterized lipoprotein ydcL OS=Escherichia coli (strain K12) GN=ydcL PE=4 SV=1		-
P63224	gmhA	20783.61786	3195	3258	4650	3964	3766	3811	3370		Phosphoheptose isomerase OS=Escherichia coli (strain K12) GN=gmhA PE=1 SV=1		-
P0ABQ0	coaB	43392.67021	184	223	429	246	283	184	252		Coenzyme A biosynthesis bifunctional protein CoaBC OS=Escherichia coli (strain K12) GN=coaBC PE=1 SV=2		-
P76372	wzzB	36414.16846	1068	842	1108	1298	1553	1447	1637		Chain length determinant protein OS=Escherichia coli (strain K12) GN=wzzB PE=1 SV=2		-
P0AAC0	uspE	35666.29663	1824	1492	1740	1651	1393	1049	1445	Signal transduction mechanisms	Universal stress protein E OS=Escherichia coli (strain K12) GN=uspE PE=1 SV=2	CELLULAR PROCESSES AND SIGNALING	T
P0AA16	ompR	27318.15933	942	703	1121	1058	799	815	828	Signal transduction mechanisms	Transcriptional regulatory protein ompR OS=Escherichia coli (strain K12) GN=ompR PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	TK
P0A9K3	ybeZ	38996.53281	497	488	510	667	690	545	734	Signal transduction mechanisms	PhoH-like protein OS=Escherichia coli (strain K12) GN=ybeZ PE=1 SV=2	CELLULAR PROCESSES AND SIGNALING	T
P0ADE6	ygaU	16035.27366	6026	3065	2850	3045	3164	3049	1857	Function unknown	Uncharacterized protein ygaU OS=Escherichia coli (strain K12) GN=ygaU PE=1 SV=2	POORLY CHARACTERIZED	S
P0A8G6	wrbA	20814.41143	8125	8249	4186	6744	5128	5794	5306	General function prediction only	Flavoprotein wrbA OS=Escherichia coli (strain K12) GN=wrbA PE=1 SV=2	POORLY CHARACTERIZED	R
P25522	mnmE	49182.62977	237	228	263	236	242	243	292	General function prediction only	tRNA modification GTPase mnmE OS=Escherichia coli (strain K12) GN=mnmE PE=1 SV=3	POORLY CHARACTERIZED	R
P36979	rlmN	43039.98018	84	137	145	176	162	199	215	General function prediction only	Ribosomal RNA large subunit methyltransferase N OS=Escherichia coli (strain K12) GN=rlmN PE=1 SV=1	POORLY CHARACTERIZED	R
P0A7B1	ppk	80363.19065	55	62	56	66	92	57	60	Inorganic ion transport and metabolism	Polyphosphate kinase OS=Escherichia coli (strain K12) GN=ppk PE=1 SV=2	METABOLISM	P
P16676	cysA	41015.48876	454	564	968	828	840	807	705	Inorganic ion transport and metabolism	Sulfate/thiosulfate import ATP-binding protein CysA OS=Escherichia coli (strain K12) GN=cysA PE=3 SV=2	METABOLISM	P
P45523	fkpA	28846.14416	2967	2885	4675	4797	6050	4160	5679	Posttranslational modification, protein turnover, chaperones	FKBP-type peptidyl-prolyl cis-trans isomerase fkpA OS=Escherichia coli (strain K12) GN=fkpA PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	O
P0A6Y5	hslO	32495.88996	1176	1452	1660	2026	1664	1473	2363	Posttranslational modification, protein turnover, chaperones	33 kDa chaperonin OS=Escherichia coli (strain K12) GN=hslO PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	O
P77689	sufD	46775.93929	180	192	234	219	244	193	252	Posttranslational modification, protein turnover, chaperones	FeS cluster assembly protein sufD OS=Escherichia coli (strain K12) GN=sufD PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	O
P22188	murE	53291.93557	302	509	503	376	435	351	512	Cell wall/membrane/envelope biogenesis	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase OS=Escherichia coli (strain K12) GN=murE PE=1 SV=2	CELLULAR PROCESSES AND SIGNALING	M
P37692	rfaF	38999.06083	54	55	93	259	NA	118	189	Cell wall/membrane/envelope biogenesis	ADP-heptose--LPS heptosyltransferase 2 OS=Escherichia coli (strain K12) GN=rfaF PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	M
P39180	flu	106742.9816	172	74	48	48	325	16	59	Cell wall/membrane/envelope biogenesis	Antigen 43 OS=Escherichia coli (strain K12) GN=flu PE=1 SV=3	CELLULAR PROCESSES AND SIGNALING	MU
P21888	cysS	52150.62339	410	277	391	381	572	339	550	Translation, ribosomal structure and biogenesis	Cysteinyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=cysS PE=1 SV=2	INFORMATION STORAGE AND PROCESSING	J
P0A805	frr	20607.85322	2616	3121	3912	4157	4212	3540	5649	Translation, ribosomal structure and biogenesis	Ribosome-recycling factor OS=Escherichia coli (strain K12) GN=frr PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	J
P0A707	infC	20533.04237	7327	3918	5435	6603	10509	8414	6930	Translation, ribosomal structure and biogenesis	Translation initiation factor IF-3 OS=Escherichia coli (strain K12) GN=infC PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	J
P0A7W7	rpsH	14099.51014	10026	9190	13560	18273	22410	15466	22152	Translation, ribosomal structure and biogenesis	30S ribosomal protein S8 OS=Escherichia coli (strain K12) GN=rpsH PE=1 SV=2	INFORMATION STORAGE AND PROCESSING	J
P14081	selB	68806.64349	32	28	48	44	40	36	49	Translation, ribosomal structure and biogenesis	Selenocysteine-specific elongation factor OS=Escherichia coli (strain K12) GN=selB PE=1 SV=3	INFORMATION STORAGE AND PROCESSING	J
P0AAI9	fabD	32378.37752	1139	2024	2282	2283	2292	2165	3385	Lipid transport and metabolism	Malonyl CoA-acyl carrier protein transacylase OS=Escherichia coli (strain K12) GN=fabD PE=1 SV=2	METABOLISM	I
P09127	hemX	42918.90191	589	429	602	622	527	633	587	Coenzyme transport and metabolism	Putative uroporphyrinogen-III C-methyltransferase OS=Escherichia coli (strain K12) GN=hemX PE=1 SV=1	METABOLISM	H
P31057	panB	28201.38237	1486	2650	2087	2246	2224	1812	2579	Coenzyme transport and metabolism	3-methyl-2-oxobutanoate hydroxymethyltransferase OS=Escherichia coli (strain K12) GN=panB PE=1 SV=1	METABOLISM	H
P31663	panC	31559.67743	1028	1092	1420	1359	1316	1041	1286	Coenzyme transport and metabolism	Pantothenate synthetase OS=Escherichia coli (strain K12) GN=panC PE=1 SV=1	METABOLISM	H
P04425	gshB	35520.25741	1083	1116	1073	1154	1273	1114	1279	Coenzyme transport and metabolism	Glutathione synthetase OS=Escherichia coli (strain K12) GN=gshB PE=1 SV=1	METABOLISM	HJ
P69783	crr	18221.73165	24931	17108	20525	24827	29309	19715	33524	Carbohydrate transport and metabolism	Glucose-specific phosphotransferase enzyme IIA component OS=Escherichia coli (strain K12) GN=crr PE=1 SV=2	METABOLISM	G
P0A6V1	glgC	48648.4803	181	288	310	292	274	213	240	Carbohydrate transport and metabolism	Glucose-1-phosphate adenylyltransferase OS=Escherichia coli (strain K12) GN=glgC PE=1 SV=2	METABOLISM	G
P24215	uxuA	44791.5738	417	347	332	494	360	381	395	Carbohydrate transport and metabolism	Mannonate dehydratase OS=Escherichia coli (strain K12) GN=uxuA PE=1 SV=2	METABOLISM	G
P02924	araF	35500.25494	339	145	109	89	29	163	35	Carbohydrate transport and metabolism	L-arabinose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=araF PE=1 SV=2	METABOLISM	G
P69811	fruB	39605.51132	185	138	136	257	6903	165	301	Carbohydrate transport and metabolism	Multiphosphoryl transfer protein OS=Escherichia coli (strain K12) GN=fruB PE=1 SV=1	METABOLISM	G
P69831	gatC	48315.16646	1146	2414	2748	2295	2049	3242	580	Carbohydrate transport and metabolism	Galactitol permease IIC component OS=Escherichia coli (strain K12) GN=gatC PE=1 SV=1	METABOLISM	G
P0AE12	amn	53943.36241	351	393	450	446	448	345	426	Nucleotide transport and metabolism	AMP nucleosidase OS=Escherichia coli (strain K12) GN=amn PE=1 SV=1	METABOLISM	F
P60560	guaC	37341.7954	729	650	1217	1149	1165	1157	1145	Nucleotide transport and metabolism	GMP reductase OS=Escherichia coli (strain K12) GN=guaC PE=1 SV=1	METABOLISM	F
P0AG16	purF	56434.59517	240	280	498	394	620	401	771	Nucleotide transport and metabolism	Amidophosphoribosyltransferase OS=Escherichia coli (strain K12) GN=purF PE=1 SV=2	METABOLISM	F
P07024	ushA	60767.7396	334	300	315	385	296	364	363	Nucleotide transport and metabolism	Protein UshA OS=Escherichia coli (strain K12) GN=ushA PE=1 SV=2	METABOLISM	F
P0A6C8	argB	27124.47333	2759	2343	3905	3864	5486	3629	6391	Amino acid transport and metabolism	Acetylglutamate kinase OS=Escherichia coli (strain K12) GN=argB PE=1 SV=1	METABOLISM	E
P05194	aroD	27431.21147	481	429	607	603	792	523	881	Amino acid transport and metabolism	3-dehydroquinate dehydratase OS=Escherichia coli (strain K12) GN=aroD PE=1 SV=2	METABOLISM	E
P09053	avtA	46662.96822	248	363	329	372	361	274	553	Amino acid transport and metabolism	Valine--pyruvate aminotransferase OS=Escherichia coli (strain K12) GN=avtA PE=3 SV=3	METABOLISM	E
P00935	metB	41506.48419	1016	1074	870	1347	1585	883	1916	Amino acid transport and metabolism	Cystathionine gamma-synthase OS=Escherichia coli (strain K12) GN=metB PE=1 SV=1	METABOLISM	E
P06721	metC	43167.00941	632	760	1043	1006	878	643	2128	Amino acid transport and metabolism	Cystathionine beta-lyase metC OS=Escherichia coli (strain K12) GN=metC PE=1 SV=1	METABOLISM	E
P16456	selD	36645.68535	392	671	667	665	574	573	708	Amino acid transport and metabolism	Selenide, water dikinase OS=Escherichia coli (strain K12) GN=selD PE=1 SV=1	METABOLISM	E
P21156	cysD	35147.8827	420	589	736	854	1113	628	1300	Amino acid transport and metabolism	Sulfate adenylyltransferase subunit 2 OS=Escherichia coli (strain K12) GN=cysD PE=1 SV=3	METABOLISM	EH
P17854	cysH	27940.45168	822	707	1247	1572	1532	948	1861	Amino acid transport and metabolism	Phosphoadenosine phosphosulfate reductase OS=Escherichia coli (strain K12) GN=cysH PE=1 SV=3	METABOLISM	EH
P0A6C5	argA	49146.47652	120	157	246	253	320	194	333	Amino acid transport and metabolism	Amino-acid acetyltransferase OS=Escherichia coli (strain K12) GN=argA PE=1 SV=1	METABOLISM	E
P06987	hisB	40234.25797	1381	863	1475	2276	1924	1450	2794	Amino acid transport and metabolism	Histidine biosynthesis bifunctional protein hisB OS=Escherichia coli (strain K12) GN=hisB PE=1 SV=1	METABOLISM	E
P07003	poxB	61953.54994	511	435	150	278	250	266	258	Amino acid transport and metabolism	Pyruvate dehydrogenase [ubiquinone] OS=Escherichia coli (strain K12) GN=poxB PE=1 SV=1	METABOLISM	EH
P09394	glpQ	40799.26496	42	92	86	624	83	64	164	Energy production and conversion	Glycerophosphoryl diester phosphodiesterase OS=Escherichia coli (strain K12) GN=glpQ PE=1 SV=2	METABOLISM	C
P0ABA4	atpH	19301.95116	5276	5679	9233	7941	8789	8236	7700	Energy production and conversion	ATP synthase subunit delta OS=Escherichia coli (strain K12) GN=atpH PE=1 SV=1	METABOLISM	C
P25437	frmA	39315.85811	427	535	530	672	491	469	551	Energy production and conversion	S-(hydroxymethyl)glutathione dehydrogenase OS=Escherichia coli (strain K12) GN=frmA PE=1 SV=3	METABOLISM	C
P38489	nfnB	23872.20471	563	713	997	1149	990	788	1503		Oxygen-insensitive NAD(P)H nitroreductase OS=Escherichia coli (strain K12) GN=nfnB PE=1 SV=1		-
P37744	rmlA	32654.70736	263	405	381	623	523	461	635		Glucose-1-phosphate thymidylyltransferase 1 OS=Escherichia coli (strain K12) GN=rmlA1 PE=1 SV=2		-
P0ABS1	dksA	17498.7338	4069	3644	4650	6499	5868	5476	5844	Signal transduction mechanisms	DnaK suppressor protein OS=Escherichia coli (strain K12) GN=dksA PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	T
P45577	proQ	25858.62351	1404	1374	1840	2510	2924	2155	2318	Signal transduction mechanisms	ProP effector OS=Escherichia coli (strain K12) GN=proQ PE=1 SV=2	CELLULAR PROCESSES AND SIGNALING	T
P0A9Q1	arcA	27256.91436	5962	3058	2999	3944	3363	4265	3367	Signal transduction mechanisms	Aerobic respiration control protein ArcA OS=Escherichia coli (strain K12) GN=arcA PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	TK
P0AG20	relA	83805.0908	47	52	80	59	73	48	64	Signal transduction mechanisms	GTP pyrophosphokinase OS=Escherichia coli (strain K12) GN=relA PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	TK
P37903	uspF	15988.50332	5087	3199	4701	3356	2216	4057	1378	Signal transduction mechanisms	Universal stress protein F OS=Escherichia coli (strain K12) GN=uspF PE=1 SV=2	CELLULAR PROCESSES AND SIGNALING	T
P39177	uspG	15907.2748	780	1352	1071	1088	889	1012	1174	Signal transduction mechanisms	Universal stress protein G OS=Escherichia coli (strain K12) GN=uspG PE=1 SV=2	CELLULAR PROCESSES AND SIGNALING	T
P0ADW3	yhcB	14933.50295	3260	2959	4920	5167	3814	3006	5444	Function unknown	Putative cytochrome d ubiquinol oxidase subunit 3 OS=Escherichia coli (strain K12) GN=yhcB PE=1 SV=2	POORLY CHARACTERIZED	S
P0ADN2	yifE	13107.43367	4282	3271	5882	6417	6591	5269	5671	Function unknown	UPF0438 protein yifE OS=Escherichia coli (strain K12) GN=yifE PE=1 SV=2	POORLY CHARACTERIZED	S
P77774	bamB	41843.31901	707	656	1109	925	902	804	962	Function unknown	Lipoprotein yfgL OS=Escherichia coli (strain K12) GN=yfgL PE=1 SV=1	POORLY CHARACTERIZED	S
P76113	curA	37567.99556	1024	685	480	696	442	493	663	General function prediction only	Putative NADP-dependent oxidoreductase yncB OS=Escherichia coli (strain K12) GN=yncB PE=3 SV=3	POORLY CHARACTERIZED	R
P25519	hflX	48279.34506	197	171	266	299	343	228	239	General function prediction only	GTP-binding protein hflX OS=Escherichia coli (strain K12) GN=hflX PE=1 SV=3	POORLY CHARACTERIZED	R
P0ACF8	hns	15512.02414	23585	25196	33464	35150	36221	26041	22541	General function prediction only	DNA-binding protein H-NS OS=Escherichia coli (strain K12) GN=hns PE=1 SV=2	POORLY CHARACTERIZED	R
P0ACG1	stpA	15319.95488	2190	2121	1898	2501	3601	3144	6863	General function prediction only	DNA-binding protein stpA OS=Escherichia coli (strain K12) GN=stpA PE=3 SV=1	POORLY CHARACTERIZED	R
P39831	ydfG	27213.76185	1761	1926	2033	2361	2198	2530	1891	General function prediction only	NADP-dependent 3-hydroxy acid dehydrogenase YdfG OS=Escherichia coli (strain K12) GN=ydfG PE=1 SV=2	POORLY CHARACTERIZED	R
P0AC02	bamD	27793.80498	632	639	1400	1086	1160	901	1372	General function prediction only	UPF0169 lipoprotein yfiO OS=Escherichia coli (strain K12) GN=yfiO PE=1 SV=1	POORLY CHARACTERIZED	R
P39286	rsgA	39150.93052	216	196	310	327	282	243	374	General function prediction only	Putative ribosome biogenesis GTPase RsgA OS=Escherichia coli (strain K12) GN=rsgA PE=1 SV=2	POORLY CHARACTERIZED	R
P77247	yniC	24296.69318	244	362	482	429	481	396	519	General function prediction only	Phosphatase YniC OS=Escherichia coli (strain K12) GN=yniC PE=1 SV=1	POORLY CHARACTERIZED	R
P76536	yfeX	33013.46217	313	426	540	530	456	388	489	Inorganic ion transport and metabolism	Uncharacterized protein yfeX OS=Escherichia coli (strain K12) GN=yfeX PE=3 SV=2	METABOLISM	P
P22255	cysQ	27140.68135	1106	823	837	861	730	680	917	Inorganic ion transport and metabolism	3'(2'),5'-bisphosphate nucleotidase CysQ OS=Escherichia coli (strain K12) GN=cysQ PE=1 SV=2	METABOLISM	P
P0A9K7	phoU	27381.7359	351	203	413	486	333	346	338	Inorganic ion transport and metabolism	Phosphate transport system protein phoU OS=Escherichia coli (strain K12) GN=phoU PE=1 SV=1	METABOLISM	P
P13024	fdhE	34706.33649	231	208	293	236	249	280	373	Posttranslational modification, protein turnover, chaperones	Protein FdhE OS=Escherichia coli (strain K12) GN=fdhE PE=3 SV=2	CELLULAR PROCESSES AND SIGNALING	O
P27249	glnD	102307.94	118	112	162	141	147	181	126	Posttranslational modification, protein turnover, chaperones	[Protein-PII] uridylyltransferase OS=Escherichia coli (strain K12) GN=glnD PE=3 SV=2	CELLULAR PROCESSES AND SIGNALING	O
P0AC59	grxB	24316.69694	2780	1907	2300	1997	2400	2648	2666	Posttranslational modification, protein turnover, chaperones	Glutaredoxin-2 OS=Escherichia coli (strain K12) GN=grxB PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	O
P0AFL3	ppiA	20400.38325	1644	2336	2240	2225	1807	1821	2576	Posttranslational modification, protein turnover, chaperones	Peptidyl-prolyl cis-trans isomerase A OS=Escherichia coli (strain K12) GN=ppiA PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	O
P0A862	tpx	17806.20497	24385	17469	24350	23441	29015	26644	24694	Posttranslational modification, protein turnover, chaperones	Thiol peroxidase OS=Escherichia coli (strain K12) GN=tpx PE=1 SV=2	CELLULAR PROCESSES AND SIGNALING	O
Q46845	yghU	32353.38694	1299	995	911	1040	718	961	769	Posttranslational modification, protein turnover, chaperones	Uncharacterized GST-like protein yghU OS=Escherichia coli (strain K12) GN=yghU PE=1 SV=2	CELLULAR PROCESSES AND SIGNALING	O
P0AG14	sohB	39323.69358	241	269	356	408	619	347	413	Posttranslational modification, protein turnover, chaperones	Probable protease sohB OS=Escherichia coli (strain K12) GN=sohB PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	OU
P0A6J8	ddlA	39273.26165	62	97	113	91	130	98	140	Cell wall/membrane/envelope biogenesis	D-alanine--D-alanine ligase A OS=Escherichia coli (strain K12) GN=ddlA PE=3 SV=1	CELLULAR PROCESSES AND SIGNALING	M
P37636	mdtE	41147.45053	7	26	8	10	7	7	13	Cell wall/membrane/envelope biogenesis	Multidrug resistance protein mdtE OS=Escherichia coli (strain K12) GN=mdtE PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	M
P36767	rdgC	33953.48385	375	280	450	425	433	440	561	Replication, recombination and repair	Recombination-associated protein rdgC OS=Escherichia coli (strain K12) GN=rdgC PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	L
P0A6X7	ihfA	11328.95837	5093	3415	4234	5008	4647	3960	4676	Replication, recombination and repair	Integration host factor subunit alpha OS=Escherichia coli (strain K12) GN=ihfA PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	L
P0A9F3	cysB	36109.85116	278	303	338	403	360	351	523	Transcription	HTH-type transcriptional regulator CysB OS=Escherichia coli (strain K12) GN=cysB PE=3 SV=1	INFORMATION STORAGE AND PROCESSING	K
P76268	kdgR	29992.45783	572	444	547	564	710	666	546	Transcription	Transcriptional regulator kdgR OS=Escherichia coli (strain K12) GN=kdgR PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	K
P0ACJ0	lrp	18857.02597	7500	5416	5778	7004	8057	5811	6092	Transcription	Leucine-responsive regulatory protein OS=Escherichia coli (strain K12) GN=lrp PE=1 SV=2	INFORMATION STORAGE AND PROCESSING	K
P0A7J7	rplK	14847.87444	4214	4425	5989	8006	9888	7570	11140	Translation, ribosomal structure and biogenesis	50S ribosomal protein L11 OS=Escherichia coli (strain K12) GN=rplK PE=1 SV=2	INFORMATION STORAGE AND PROCESSING	J
P68919	rplY	10668.70954	8092	9904	11375	15540	17457	12510	20176	Translation, ribosomal structure and biogenesis	50S ribosomal protein L25 OS=Escherichia coli (strain K12) GN=rplY PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	J
P0A7X3	rpsI	14829.0118	4149	4480	5852	7971	8335	5791	8821	Translation, ribosomal structure and biogenesis	30S ribosomal protein S9 OS=Escherichia coli (strain K12) GN=rpsI PE=1 SV=2	INFORMATION STORAGE AND PROCESSING	J
P0A9Q5	accD	33282.06852	849	858	1397	1736	1969	1589	1660	Lipid transport and metabolism	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta OS=Escherichia coli (strain K12) GN=accD PE=1 SV=1	METABOLISM	I
P10384	fadL	48493.51804	3285	2176	2459	1328	636	2130	472	Lipid transport and metabolism	Long-chain fatty acid transport protein OS=Escherichia coli (strain K12) GN=fadL PE=1 SV=5	METABOLISM	I
P0A8K1	psd	35893.65515	1074	905	1508	1470	1663	1318	1620	Lipid transport and metabolism	Phosphatidylserine decarboxylase proenzyme OS=Escherichia coli (strain K12) GN=psd PE=1 SV=1	METABOLISM	I
P69451	fadD	62274.45314	225	228	263	150	135	238	150	Lipid transport and metabolism	Long-chain-fatty-acid--CoA ligase OS=Escherichia coli (strain K12) GN=fadD PE=1 SV=1	METABOLISM	IQ
P0AG84	yghA	31450.32209	365	187	93	106	53	100	150	Lipid transport and metabolism	Uncharacterized oxidoreductase yghA OS=Escherichia coli (strain K12) GN=yghA PE=1 SV=1	METABOLISM	IQR
P0AEZ9	moaB	18635.49217	2699	2618	2251	2488	2427	1925	2560	Coenzyme transport and metabolism	Molybdenum cofactor biosynthesis protein B OS=Escherichia coli (strain K12) GN=moaB PE=1 SV=2	METABOLISM	H
P0AAB4	ubiD	55550.30277	270	283	362	283	314	289	244	Coenzyme transport and metabolism	3-octaprenyl-4-hydroxybenzoate carboxy-lyase OS=Escherichia coli (strain K12) GN=ubiD PE=1 SV=1	METABOLISM	H
P0A759	nagB	29737.06131	2576	704	563	804	724	661	550	Carbohydrate transport and metabolism	Glucosamine-6-phosphate deaminase OS=Escherichia coli (strain K12) GN=nagB PE=1 SV=1	METABOLISM	G
P0A8G3	uxaC	53934.61332	189	167	180	228	323	177	143	Carbohydrate transport and metabolism	Uronate isomerase OS=Escherichia coli (strain K12) GN=uxaC PE=3 SV=1	METABOLISM	G
P37349	dhaM	51398.26995	115	69	130	447	233	75	340	Carbohydrate transport and metabolism	PTS-dependent dihydroxyacetone kinase, phosphotransferase subunit dhaM OS=Escherichia coli (strain K12) GN=dhaM PE=1 SV=3	METABOLISM	G
P69805	manZ	31264.58442	189	242	210	385	739	217	341	Carbohydrate transport and metabolism	Mannose permease IID component OS=Escherichia coli (strain K12) GN=manZ PE=1 SV=1	METABOLISM	G
