bnumber	Description	Gene	Peptides.used.for.quantitation	Confidence.score	MW[Da]	Bnumber	Annotated functional COG groups (letter)	Annotated functional COG group (description)	Annotated functional COG class
b1145	Putative lambdoid prophage e14 repressor protein C2 OS=Escherichia coli (strain K12) GN=ymfK PE=4 SV=1	cohE	1	40.26	25060.525540000002	b1145	KT	Transcription	INFORMATION STORAGE AND PROCESSING
b1162	HTH-type transcriptional repressor YcgE OS=Escherichia coli (strain K12) GN=ycgE PE=1 SV=1	ycgE	1	39.03	28228.599560000002	b1162	K	Transcription	INFORMATION STORAGE AND PROCESSING
b1165	Probable two-component-system connector protein YmgA OS=Escherichia coli (strain K12) GN=ymgA PE=2 SV=1	ymgA	1	62.42	10320.4048	b1165	-		
b1171	Uncharacterized protein ymgD OS=Escherichia coli (strain K12) GN=ymgD PE=4 SV=2	ymgD	3	82.72	11826.0528	b1171	-		
b1172	UPF0757 protein ymgG OS=Escherichia coli (strain K12) GN=ymgG PE=3 SV=5	ymgG	1	85.61	10781.94766	b1172	-		
b1174	Cell division topological specificity factor OS=Escherichia coli (strain K12) GN=minE PE=1 SV=1	minE	7	366.77	10210.47912	b1174	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
b1175	Septum site-determining protein minD OS=Escherichia coli (strain K12) GN=minD PE=1 SV=2	minD	17	923.43	29577.611810000002	b1175	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
b1176	Septum site-determining protein minC OS=Escherichia coli (strain K12) GN=minC PE=1 SV=1	minC	4	167.93	24741.87589	b1176	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
b1177	Uncharacterized protein ycgJ OS=Escherichia coli (strain K12) GN=ycgJ PE=4 SV=1	ycgJ	1	34.64	13387.27341	b1177	-		
b1178	Uncharacterized protein ycgK OS=Escherichia coli (strain K12) GN=ycgK PE=1 SV=1	pliG	5	314.16	14878.710519999999	b1178	-		
b1179	UPF0745 protein YcgL OS=Escherichia coli (strain K12) GN=ycgL PE=1 SV=2	ycgL	6	162.28	11221.80465	b1179	S	Function unknown	POORLY CHARACTERIZED
b1180	Uncharacterized protein ycgM OS=Escherichia coli (strain K12) GN=ycgM PE=1 SV=1	ycgM	5	200.78	23678.10998	b1180	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
b1185	Disulfide bond formation protein B OS=Escherichia coli (strain K12) GN=dsbB PE=1 SV=1	dsbB	2	81.7	20110.561319999997	b1185	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
b1186	Na(+)/H(+) antiporter nhaB OS=Escherichia coli (strain K12) GN=nhaB PE=1 SV=1	nhaB	1	56.6	56673.40997000001	b1186	P	Inorganic ion transport and metabolism	METABOLISM
b1187	Fatty acid metabolism regulator protein OS=Escherichia coli (strain K12) GN=fadR PE=1 SV=2	fadR	7	474.45	26933.912839999997	b1187	K	Transcription	INFORMATION STORAGE AND PROCESSING
b1188	Uncharacterized protein ycgB OS=Escherichia coli (strain K12) GN=ycgB PE=4 SV=2	ycgB	2	127.37	60756.97139	b1188	S	Function unknown	POORLY CHARACTERIZED
b1189	D-amino acid dehydrogenase small subunit OS=Escherichia coli (strain K12) GN=dadA PE=2 SV=1	dadA	10	484.9	47559.0476	b1189	E	Amino acid transport and metabolism	METABOLISM
b1190	Alanine racemase, catabolic OS=Escherichia coli (strain K12) GN=dadX PE=2 SV=2	dadX	6	442.4	38801.9209	b1190	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
b1191	Cell volume regulation protein A OS=Escherichia coli (strain K12) GN=cvrA PE=3 SV=2	cvrA	1	39.02	62227.45021	b1191	P	Inorganic ion transport and metabolism	METABOLISM
b1192	Murein tetrapeptide carboxypeptidase OS=Escherichia coli (strain K12) GN=ldcA PE=1 SV=1	ldcA	3	298.39	33528.2494	b1192	V	Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
b1193	Endo-type membrane-bound lytic murein transglycosylase A OS=Escherichia coli (strain K12) GN=emtA PE=1 SV=1	emtA	1	61.25	22194.43952	b1193	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
b1197	Periplasmic trehalase OS=Escherichia coli (strain K12) GN=treA PE=1 SV=1	treA	15	654.59	63578.540179999996	b1197	G	Carbohydrate transport and metabolism	METABOLISM
b1198	PTS-dependent dihydroxyacetone kinase, phosphotransferase subunit dhaM OS=Escherichia coli (strain K12) GN=dhaM PE=1 SV=3	dhaM	11	764.21	51398.26995	b1198	G	Carbohydrate transport and metabolism	METABOLISM
b1199	PTS-dependent dihydroxyacetone kinase, ADP-binding subunit dhaL OS=Escherichia coli (strain K12) GN=dhaL PE=1 SV=3	dhaL	7	469.55	22599.29494	b1199	G	Carbohydrate transport and metabolism	METABOLISM
b1200	PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit dhaK OS=Escherichia coli (strain K12) GN=dhaK PE=1 SV=2	dhaK	13	772.17	38173.13622	b1200	G	Carbohydrate transport and metabolism	METABOLISM
b1203	GTP-dependent nucleic acid-binding protein engD OS=Escherichia coli (strain K12) GN=engD PE=1 SV=2	ychF	14	830.86	39624.25951	b1203	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
b1204	Peptidyl-tRNA hydrolase OS=Escherichia coli (strain K12) GN=pth PE=1 SV=1	pth	6	310.76	21051.07365	b1204	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
b1205	Uncharacterized protein ychH OS=Escherichia coli (strain K12) GN=ychH PE=4 SV=1	ychH	1	96.66	10461.42793	b1205	-		
b1207	Ribose-phosphate pyrophosphokinase OS=Escherichia coli (strain K12) GN=prs PE=1 SV=2	prs	16	1269.75	34178.69451	b1207	FE	Nucleotide transport and metabolism	METABOLISM
b1208	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase OS=Escherichia coli (strain K12) GN=ispE PE=1 SV=1	ispE	5	238.05	30887.82837	b1208	I	Lipid transport and metabolism	METABOLISM
b1209	Outer-membrane lipoprotein lolB OS=Escherichia coli (strain K12) GN=lolB PE=1 SV=1	lolB	7	338.14	23517.96895	b1209	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
b1210	Glutamyl-tRNA reductase OS=Escherichia coli (strain K12) GN=hemA PE=1 SV=1	hemA	1	24.78	46260.11892	b1210	H	Coenzyme transport and metabolism	METABOLISM
b1211	Peptide chain release factor 1 OS=Escherichia coli (strain K12) GN=prfA PE=1 SV=1	prfA	4	259.39	40474.19405	b1211	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
b1212	Protein methyltransferase hemK OS=Escherichia coli (strain K12) GN=hemK PE=1 SV=1	hemK	2	65.34	30937.63414		-		
b1215	2-dehydro-3-deoxyphosphooctonate aldolase OS=Escherichia coli (strain K12) GN=kdsA PE=1 SV=1	kdsA	17	1242.72	30794.901210000004	b1215	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
b1216	Calcium/proton antiporter OS=Escherichia coli (strain K12) GN=chaA PE=1 SV=1	chaA	1	31.77	39125.072360000006	b1216	P	Inorganic ion transport and metabolism	METABOLISM
b1217	Cation transport regulator ChaB OS=Escherichia coli (strain K12) GN=chaB PE=1 SV=1	chaB	2	51.57	8921.34967	b1217	R	General function prediction only	POORLY CHARACTERIZED
b1219	Protein ychN OS=Escherichia coli (strain K12) GN=ychN PE=1 SV=1	ychN	4	337.48	12666.68706	b1219	P	Inorganic ion transport and metabolism	METABOLISM
b1221	Nitrate/nitrite response regulator protein narL OS=Escherichia coli (strain K12) GN=narL PE=1 SV=1	narL	10	696.62	23893.68135	b1221	TK	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
b1224	Respiratory nitrate reductase 1 alpha chain OS=Escherichia coli (strain K12) GN=narG PE=1 SV=4	narG	4	136.9	140382.5073	b1224	C	Energy production and conversion	METABOLISM
b1225	Respiratory nitrate reductase 1 beta chain OS=Escherichia coli (strain K12) GN=narH PE=1 SV=3	narH	1	106.1	58010.799320000006	b1225	C	Energy production and conversion	METABOLISM
b1226	Nitrate reductase molybdenum cofactor assembly chaperone NarJ OS=Escherichia coli (strain K12) GN=narJ PE=1 SV=1	narJ	3	122.99	26414.47486	b1226	C	Energy production and conversion	METABOLISM
b1227	Respiratory nitrate reductase 1 gamma chain OS=Escherichia coli (strain K12) GN=narI PE=1 SV=1	narI	1	26.26	25462.376809999998	b1227	C	Energy production and conversion	METABOLISM
b1232	Formyltetrahydrofolate deformylase OS=Escherichia coli (strain K12) GN=purU PE=1 SV=1	purU	11	1030.44	31896.523810000002	b1232	F	Nucleotide transport and metabolism	METABOLISM
b1233	UPF0225 protein ychJ OS=Escherichia coli (strain K12) GN=ychJ PE=1 SV=2	ychJ	1	34.32	16960.9477	b1233	S	Function unknown	POORLY CHARACTERIZED
b1234	NTE family protein rssA OS=Escherichia coli (strain K12) GN=rssA PE=1 SV=2	rssA	2	49.82	33028.14004	b1234	R	General function prediction only	POORLY CHARACTERIZED
b1235	Protein hnr OS=Escherichia coli (strain K12) GN=hnr PE=1 SV=1	rssB	2	150.97	37260.50082	b1235	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
b1236	UTP--glucose-1-phosphate uridylyltransferase OS=Escherichia coli (strain K12) GN=galU PE=1 SV=2	galU	17	842.42	32902.99162	b1236	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
b1237	DNA-binding protein H-NS OS=Escherichia coli (strain K12) GN=hns PE=1 SV=2	hns	11	778.89	15512.024140000001	b1237	R	General function prediction only	POORLY CHARACTERIZED
b1238	Thymidine kinase OS=Escherichia coli (strain K12) GN=tdk PE=3 SV=1	tdk	2	162.02	23423.6654	b1238	F	Nucleotide transport and metabolism	METABOLISM
b1241	Aldehyde-alcohol dehydrogenase OS=Escherichia coli (strain K12) GN=adhE PE=1 SV=2	adhE	58	4443.68	96048.64958	b1241	C	Energy production and conversion	METABOLISM
b1243	Periplasmic oligopeptide-binding protein OS=Escherichia coli (strain K12) GN=oppA PE=1 SV=2	oppA	32	1916.49	60842.91364	b1243	E	Amino acid transport and metabolism	METABOLISM
b1244	Oligopeptide transport system permease protein oppB OS=Escherichia coli (strain K12) GN=oppB PE=1 SV=1	oppB	3	133.15	33403.198919999995	b1244	EP	Amino acid transport and metabolism	METABOLISM
b1245	Oligopeptide transport system permease protein oppC OS=Escherichia coli (strain K12) GN=oppC PE=1 SV=1	oppC	2	169.17	32982.33712	b1245	EP	Amino acid transport and metabolism	METABOLISM
b1246	Oligopeptide transport ATP-binding protein OppD OS=Escherichia coli (strain K12) GN=oppD PE=3 SV=2	oppD	10	556.37	37145.944410000004	b1246	EP	Amino acid transport and metabolism	METABOLISM
b1247	Oligopeptide transport ATP-binding protein OppF OS=Escherichia coli (strain K12) GN=oppF PE=3 SV=1	oppF	9	394.25	37155.62253	b1247	E	Amino acid transport and metabolism	METABOLISM
b1248	UPF0263 protein yciU OS=Escherichia coli (strain K12) GN=yciU PE=1 SV=1	yciU	2	98.1	12661.014220000001	b1248	S	Function unknown	POORLY CHARACTERIZED
b1249	Cardiolipin synthase OS=Escherichia coli (strain K12) GN=cls PE=1 SV=1	clsA	4	163.6	54768.545860000006	b1249	I	Lipid transport and metabolism	METABOLISM
b1250	Putative potassium channel protein OS=Escherichia coli (strain K12) GN=kch PE=1 SV=1	kch	3	118.15	46015.206710000006	b1250	P	Inorganic ion transport and metabolism	METABOLISM
b1251	Protein yciI OS=Escherichia coli (strain K12) GN=yciI PE=1 SV=1	yciI	4	130.8	10577.40472	b1251	S	Function unknown	POORLY CHARACTERIZED
b1252	Protein tonB OS=Escherichia coli (strain K12) GN=tonB PE=1 SV=2	tonB	6	260.37	26059.99904	b1252	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
b1253	Acyl-CoA thioester hydrolase YciA OS=Escherichia coli (strain K12) GN=yciA PE=3 SV=1	yciA	1	36.72	14203.3308	b1253	I	Lipid transport and metabolism	METABOLISM
b1254	Probable intracellular septation protein OS=Escherichia coli (strain K12) GN=ispZ PE=1 SV=1	yciB	1	30.7	20758.42257	b1254	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
b1255	UPF0259 membrane protein yciC OS=Escherichia coli (strain K12) GN=yciC PE=1 SV=2	yciC	1	52.37	26383.57942	b1255	-		
b1256	Outer membrane protein W OS=Escherichia coli (strain K12) GN=ompW PE=1 SV=1	ompW	2	221.03	22895.28127	b1256	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
b1257	Protein yciE OS=Escherichia coli (strain K12) GN=yciE PE=1 SV=1	yciE	5	181.98	18931.47424	b1257	S	Function unknown	POORLY CHARACTERIZED
b1258	Protein yciF OS=Escherichia coli (strain K12) GN=yciF PE=1 SV=1	yciF	6	525.1	18567.66099	b1258	S	Function unknown	POORLY CHARACTERIZED
b1259	Uncharacterized protein yciG OS=Escherichia coli (strain K12) GN=yciG PE=1 SV=1	yciG	2	122.19	5980.82158	b1259	-		
b1260	Tryptophan synthase alpha chain OS=Escherichia coli (strain K12) GN=trpA PE=1 SV=1	trpA	14	879.27	28688.029980000003	b1260	E	Amino acid transport and metabolism	METABOLISM
b1261	Tryptophan synthase beta chain OS=Escherichia coli (strain K12) GN=trpB PE=1 SV=2	trpB	19	1085.02	42937.58854	b1261	E	Amino acid transport and metabolism	METABOLISM
b1262	Tryptophan biosynthesis protein trpCF OS=Escherichia coli (strain K12) GN=trpC PE=1 SV=3	trpC	11	680.1	49312.34103	b1262	E	Amino acid transport and metabolism	METABOLISM
b1263	Anthranilate synthase component II OS=Escherichia coli (strain K12) GN=trpD PE=1 SV=3	trpG	13	762.63	56816.25068	b1263	E	Amino acid transport and metabolism	METABOLISM
b1264	Anthranilate synthase component 1 OS=Escherichia coli (strain K12) GN=trpE PE=1 SV=2	trpE	22	1161.99	57440.09142999999	b1264	EH	Amino acid transport and metabolism	METABOLISM
b1267	Uncharacterized protein yciO OS=Escherichia coli (strain K12) GN=yciO PE=1 SV=1	yciO	6	367.16	23178.95771	b1267	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
b1269	Ribosomal large subunit pseudouridine synthase B OS=Escherichia coli (strain K12) GN=rluB PE=1 SV=2	rluB	4	234.74	32673.395989999997	b1269	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
b1270	Cob(I)yrinic acid a,c-diamide adenosyltransferase OS=Escherichia coli (strain K12) GN=btuR PE=3 SV=1	btuR	1	192.64	21967.13764	b1270	H	Coenzyme transport and metabolism	METABOLISM
b1271	Uncharacterized oxidoreductase yciK OS=Escherichia coli (strain K12) GN=yciK PE=1 SV=3	yciK	7	336.44	27897.0141	b1271	IQR	Lipid transport and metabolism	METABOLISM
b1272	Probable protease sohB OS=Escherichia coli (strain K12) GN=sohB PE=1 SV=1	sohB	11	743.39	39323.69358	b1272	OU	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
b1273	Protein yciN OS=Escherichia coli (strain K12) GN=yciN PE=1 SV=1	yciN	3	154.67	9361.79711	b1273	-		
b1274	DNA topoisomerase 1 OS=Escherichia coli (strain K12) GN=topA PE=1 SV=2	topA	23	1185.9	97270.30707000001	b1274	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
b1275	HTH-type transcriptional regulator CysB OS=Escherichia coli (strain K12) GN=cysB PE=3 SV=1	cysB	11	586.43	36109.851160000006	b1275	K	Transcription	INFORMATION STORAGE AND PROCESSING
b1276	Aconitate hydratase 1 OS=Escherichia coli (strain K12) GN=acnA PE=1 SV=3	acnA	31	2147.6	97597.74141	b1276	C	Energy production and conversion	METABOLISM
b1277	GTP cyclohydrolase-2 OS=Escherichia coli (strain K12) GN=ribA PE=1 SV=1	ribA	8	320.03	21804.17238	b1277	H	Coenzyme transport and metabolism	METABOLISM
b1279	Inner membrane protein yciS OS=Escherichia coli (strain K12) GN=yciS PE=1 SV=1	yciS	1	60.05	11326.279779999999	b1279	S	Function unknown	POORLY CHARACTERIZED
b1280	Uncharacterized protein yciM OS=Escherichia coli (strain K12) GN=yciM PE=4 SV=1	yciM	1	134.41	44484.45942	b1280	G	Carbohydrate transport and metabolism	METABOLISM
b1281	Orotidine 5'-phosphate decarboxylase OS=Escherichia coli (strain K12) GN=pyrF PE=1 SV=1	pyrF	10	451.31	26315.461919999998	b1281	F	Nucleotide transport and metabolism	METABOLISM
b1282	Uncharacterized protein yciH OS=Escherichia coli (strain K12) GN=yciH PE=1 SV=1	yciH	1	50.55	11371.09405	b1282	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
b1283	Osmotically-inducible lipoprotein B OS=Escherichia coli (strain K12) GN=osmB PE=2 SV=1	osmB	1	139.3	6925.61897	b1283	-		
b1284	Uncharacterized HTH-type transcriptional regulator yciT OS=Escherichia coli (strain K12) GN=yciT PE=4 SV=1	yciT	3	307.22	27567.181839999997	b1284	KG	Transcription	INFORMATION STORAGE AND PROCESSING
b1286	Exoribonuclease 2 OS=Escherichia coli (strain K12) GN=rnb PE=1 SV=3	rnb	26	1290.68	72427.22502	b1286	K	Transcription	INFORMATION STORAGE AND PROCESSING
b1287	Uncharacterized protein yciW OS=Escherichia coli (strain K12) GN=yciW PE=4 SV=2	yciW	4	206.64	42175.50636	b1287	S	Function unknown	POORLY CHARACTERIZED
b1288	Enoyl-[acyl-carrier-protein] reductase [NADH] OS=Escherichia coli (strain K12) GN=fabI PE=1 SV=2	fabI	19	1462.86	27828.04478	b1288	I	Lipid transport and metabolism	METABOLISM
b1290	Peptide transport system ATP-binding protein SapF OS=Escherichia coli (strain K12) GN=sapF PE=1 SV=1	sapF	5	203.01	30533.06637	b1290	V	Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
b1291	Peptide transport system ATP-binding protein SapD OS=Escherichia coli (strain K12) GN=sapD PE=3 SV=1	sapD	4	287.56	37618.44779	b1291	V	Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
b1294	Peptide transport periplasmic protein sapA OS=Escherichia coli (strain K12) GN=sapA PE=3 SV=1	sapA	2	125.2	61508.41287000001	b1294	E	Amino acid transport and metabolism	METABOLISM
b1295	Uncharacterized protein ymjA OS=Escherichia coli (strain K12) GN=ymjA PE=4 SV=1	ymjA	4	338.31	9297.384390000001	b1295	-		
b1297	Gamma-glutamylputrescine synthetase OS=Escherichia coli (strain K12) GN=puuA PE=3 SV=1	puuA	7	318.56	53125.22576	b1297	E	Amino acid transport and metabolism	METABOLISM
b1298	Gamma-glutamyl-gamma-aminobutyrate hydrolase OS=Escherichia coli (strain K12) GN=puuD PE=4 SV=1	puuD	6	270.75	27977.378419999997	b1298	R	General function prediction only	POORLY CHARACTERIZED
b1299	HTH-type transcriptional regulator puuR OS=Escherichia coli (strain K12) GN=puuR PE=1 SV=1	puuR	2	69.89	20061.163119999997	b1299	K	Transcription	INFORMATION STORAGE AND PROCESSING
b1300	Gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=puuC PE=3 SV=2	puuC	7	591.95	53367.43457	b1300	C	Energy production and conversion	METABOLISM
b1302	Gamma-aminobutyrate aminotransferase OS=Escherichia coli (strain K12) GN=puuE PE=3 SV=1	puuE	5	253.86	44682.75437	b1302	E	Amino acid transport and metabolism	METABOLISM
b1303	Psp operon transcriptional activator OS=Escherichia coli (strain K12) GN=pspF PE=1 SV=2	pspF	2	84.39	36945.19741	b1303	KT	Transcription	INFORMATION STORAGE AND PROCESSING
b1304	Phage shock protein A OS=Escherichia coli (strain K12) GN=pspA PE=1 SV=2	pspA	10	639.35	25459.21011	b1304	KT	Transcription	INFORMATION STORAGE AND PROCESSING
b1305	Phage shock protein B OS=Escherichia coli (strain K12) GN=pspB PE=1 SV=1	pspB	2	249.3	8739.601490000001	b1305	-		
b1308	Thiosulfate sulfurtransferase PspE OS=Escherichia coli (strain K12) GN=pspE PE=1 SV=1	pspE	3	212.25	11450.0187	b1308	P	Inorganic ion transport and metabolism	METABOLISM
b1320	Uncharacterized HTH-type transcriptional regulator ycjW OS=Escherichia coli (strain K12) GN=ycjW PE=1 SV=1	ycjW	1	102.04	36093.66433	b1320	K	Transcription	INFORMATION STORAGE AND PROCESSING
b1321	Uncharacterized protein ycjX OS=Escherichia coli (strain K12) GN=ycjX PE=1 SV=1	ycjX	2	129.46	52558.10385	b1321	R	General function prediction only	POORLY CHARACTERIZED
b1322	UPF0283 membrane protein ycjF OS=Escherichia coli (strain K12) GN=ycjF PE=1 SV=1	ycjF	1	71.34	39349.43739	b1322	S	Function unknown	POORLY CHARACTERIZED
b1323	Transcriptional regulatory protein tyrR OS=Escherichia coli (strain K12) GN=tyrR PE=1 SV=2	tyrR	15	859.27	57601.71114	b1323	KE	Transcription	INFORMATION STORAGE AND PROCESSING
b1324	Thiol peroxidase OS=Escherichia coli (strain K12) GN=tpx PE=1 SV=2	tpx	11	757.4	17806.20497	b1324	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
b1325	L-Ala-D/L-Glu epimerase OS=Escherichia coli (strain K12) GN=ycjG PE=1 SV=2	ycjG	7	371.23	34633.895130000004	b1325	MR	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
b1326	Protein mpaA OS=Escherichia coli (strain K12) GN=mpaA PE=4 SV=2	mpaA	1	88.44	26523.23108	b1326	E	Amino acid transport and metabolism	METABOLISM
b1327	Uncharacterized protein ycjY OS=Escherichia coli (strain K12) GN=ycjY PE=1 SV=2	ycjY	5	323.19	33619.49098	b1327	R	General function prediction only	POORLY CHARACTERIZED
b1329	Periplasmic murein peptide-binding protein OS=Escherichia coli (strain K12) GN=mppA PE=1 SV=2	mppA	6	318.36	59844.8587	b1329	E	Amino acid transport and metabolism	METABOLISM
b1330	MscS family inner membrane protein ynaI OS=Escherichia coli (strain K12) GN=ynaI PE=1 SV=1	ynaI	1	73.8	38711.59081	b1330	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
b1333	Universal stress protein E OS=Escherichia coli (strain K12) GN=uspE PE=1 SV=2	uspE	12	778.24	35666.296630000004	b1333	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
b1334	Fumarate and nitrate reduction regulatory protein OS=Escherichia coli (strain K12) GN=fnr PE=1 SV=1	fnr	4	297.69	27931.33827	b1334	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
b1335	Methylated-DNA--protein-cysteine methyltransferase OS=Escherichia coli (strain K12) GN=ogt PE=1 SV=1	ogt	4	262.85	19148.91391	b1335	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
b1340	Uncharacterized protein ydaL OS=Escherichia coli (strain K12) GN=ydaL PE=4 SV=1	ydaL	7	310.67	21481.0823	b1340	S	Function unknown	POORLY CHARACTERIZED
b1341	Probable diguanylate cyclase YdaM OS=Escherichia coli (strain K12) GN=ydaM PE=1 SV=2	ydaM	1	55.61	46404.9105	b1341	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
b1342	Zinc transport protein ZntB OS=Escherichia coli (strain K12) GN=zntB PE=1 SV=1	zntB	2	68.87	36570.597219999996		-		
b1343	ATP-independent RNA helicase dbpA OS=Escherichia coli (strain K12) GN=dbpA PE=1 SV=2	dbpA	3	100.73	49138.79184	b1343	LKJ	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
b1344	tRNA 2-thiocytidine biosynthesis protein TtcA OS=Escherichia coli (strain K12) GN=ttcA PE=1 SV=1	ttcA	2	153.56	35520.023689999995	b1344	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
b1356	Rac prophage repressor OS=Escherichia coli (strain K12) GN=racR PE=4 SV=1	racR	1	91.04	17634.15454	b1356	-		
b1375	Uncharacterized protein ynaE OS=Escherichia coli (strain K12) GN=ynaE PE=4 SV=1	ynaE	4	164.22	10084.51033	b1375	-		
b1376	Universal stress protein F OS=Escherichia coli (strain K12) GN=uspF PE=1 SV=2	uspF	11	615.53	15988.503319999998	b1376	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
b1378	Probable pyruvate-flavodoxin oxidoreductase OS=Escherichia coli (strain K12) GN=ydbK PE=3 SV=2	ydbK	9	405.85	128725.189	b1378	C	Energy production and conversion	METABOLISM
b1379	Heat shock protein hslJ OS=Escherichia coli (strain K12) GN=hslJ PE=1 SV=1	hslJ	2	107.67	15137.58295	b1379	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
b1380	D-lactate dehydrogenase OS=Escherichia coli (strain K12) GN=ldhA PE=1 SV=1	ldhA	7	335.98	36493.43166	b1380	CHR	Energy production and conversion	METABOLISM
b1382	Uncharacterized protein ynbE OS=Escherichia coli (strain K12) GN=ynbE PE=4 SV=1	ynbE	2	67.73	6817.65486	b1382	-		
b1383	Uncharacterized protein ydbL OS=Escherichia coli (strain K12) GN=ydbL PE=4 SV=2	ydbL	1	51.24	11852.35305	b1383	S	Function unknown	POORLY CHARACTERIZED
b1384	Transcriptional activator feaR OS=Escherichia coli (strain K12) GN=feaR PE=1 SV=1	feaR	1	101.04	34580.44395	b1384	K	Transcription	INFORMATION STORAGE AND PROCESSING
b1385	Phenylacetaldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=feaB PE=1 SV=2	feaB	4	172.36	53647.301060000005	b1385	C	Energy production and conversion	METABOLISM
b1389	Phenylacetic acid degradation protein paaB OS=Escherichia coli (strain K12) GN=paaB PE=2 SV=1	paaB	1	74.87	10917.313040000001	b1389	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
b1390	Phenylacetic acid degradation protein paaC OS=Escherichia coli (strain K12) GN=paaC PE=1 SV=1	paaC	1	81.59	27842.07375	b1390	S	Function unknown	POORLY CHARACTERIZED
b1392	Probable phenylacetic acid degradation NADH oxidoreductase paaE OS=Escherichia coli (strain K12) GN=paaE PE=2 SV=1	paaE	1	27.16	39276.809689999995	b1392	C	Energy production and conversion	METABOLISM
b1397	Beta-ketoadipyl-CoA thiolase OS=Escherichia coli (strain K12) GN=paaJ PE=1 SV=1	paaJ	1	28.21	42231.81571	b1397	I	Lipid transport and metabolism	METABOLISM
b1398	Phenylacetate-coenzyme A ligase OS=Escherichia coli (strain K12) GN=paaK PE=1 SV=1	paaK	1	104.44	48903.76066	b1398	H	Coenzyme transport and metabolism	METABOLISM
b1399	Phenylacetic acid degradation operon negative regulatory protein paaX OS=Escherichia coli (strain K12) GN=paaX PE=1 SV=1	paaX	4	190.88	35254.60123	b1399	K	Transcription	INFORMATION STORAGE AND PROCESSING
b1400	Phenylacetic acid degradation protein paaY OS=Escherichia coli (strain K12) GN=paaY PE=3 SV=1	paaY	3	123.93	21293.074819999998	b1400	R	General function prediction only	POORLY CHARACTERIZED
b1406	Putative oxidoreductase YdbC OS=Escherichia coli (strain K12) GN=ydbC PE=1 SV=1	ydbC	11	694.81	30668.769710000004	b1406	C	Energy production and conversion	METABOLISM
b1412	FMN-dependent NADH-azoreductase OS=Escherichia coli (strain K12) GN=azoR PE=1 SV=3	azoR	7	418.66	21626.28299	b1412	I	Lipid transport and metabolism	METABOLISM
b1413	ATP-dependent RNA helicase hrpA OS=Escherichia coli (strain K12) GN=hrpA PE=3 SV=3	hrpA	10	454.42	148917.1694	b1413	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
